爆冷
拜仁慕尼黑
拜利斯
拜基卡拉
拿加沙
拿夫巴賀
拿夫特
拿拉FC
拿拉體育俱樂部
拿比達克
拿沙連拿
拿舒維爾
拿菲米辛
拿薩夫
挪亞
捷爾任斯克兵工廠
捷斯托佐華
捷迪斯沃
撣聯
摩拿
摩納哥
摩裏倫斯
收租者競技
敦達克
文茨皮爾斯
斯佩齊亞
斯卡利察
斯卡拉
斯盧茨克
斯古比
斯圖加特
斯基克達
斯威夫特
斯平加爾蒼鷹
斯托姆加斯特
斯拉維亞莫茲裏
斯洛雲
斯洛華高
斯洛波達
斯特拉斯堡
斯特里達
斯特魯加
斯科普里
新人SC
新加坡新潟天鵝
新聖徒
新英倫革命
新青年
施亞拉
施倫斯
施利高流浪
施歷斯
施基斯亞
施安尼
施恩施雅奴
施拉
施拉雲
施拉斯克
施捷
施普斯
施比尼克
施洛奇伯拉治
施特拉森
施連
施迪夫
日利納
時刻準備着
昂熱
昆卡
明尼蘇達聯
明尼路
明斯克
明斯克迪納摩
春武裏
晉峯
普夫迪夫火車頭
普斯卡斯學院
普羅斯克
普羅格雷素
智利大學
曼城
曼塔
曼徹斯特62
曼聯
曼谷聯
曼迪奧拉
曼霍本拉拉希
月尾島體育團
朗斯
本菲卡
樸比達
樸達丹
樸迪莫倫斯
杜保爾
杜克拉
杜蘭
杜利馬
杜希達聯
杜斯拿城
傑志
極光隊
林比
林肯紅魔鬼
林茨
果阿
柏克塔哥
柏利斯天奴
柏拉坦斯
柏斯波利斯
柏林聯
柏林赫塔
柏簡
柏雷素爾
柔佛DT
查些路
查內爾
查華爾
查比高恩斯
查洛摩亞
查維斯
標準列日
標準流浪
根克
根茨
格倫杜蘭
格茲拉聯
格拉茨
格羅寧根
桑普多利亞
梅塔
梅州客家
梅拿
梅拿達
梅格
梅索科菲德
梅赫倫
梅里比拉
梅里達學生隊
棕櫚花競技
森利德
森彼連
檳城
橫濱水手
歐卡斯
歐塞爾
歐登塞
武漢三鎮
武漢長江
武裏南聯
比亞斯華夏普爾
比利亞雷亞爾
比卓拿
比歷斯
比爾森勝利
比尼拉納
比拿斯卡
比斯克拉
比斯特
比杜路爾
比林
比羅
比達比歷
畢爾巴鄂
水原FC
水原三星藍翼
水晶體育
水晶宮
漢卡約
漢達瓦底聯
江原FC
沃爾夫斯堡
沃爾夫斯貝格
沙蘭迪兵工廠
沙勒格斯基
沙哈霍德羅
沙士菲
沙奧利姆
沙爾
沙爾克04
沙巴
沙巴爾
沙巴巴庫
沙巴柏沙希
沙巴罕
沙巴阿羅登
沙布達盧
沙恩
沙拉姆
沙斯辛
沙欣布希爾
沙比艾阿里
沙漢姆
沙沒巴干城
沙洛克流浪
沙米恩圖
沙迦
沙馬基
滄州雄獅
河內FC
河北FC
河南嵩山龍門
河牀
河流聯
法蘭克福
法爾西亞諾
法馬利卡奧
法高爾
波茲南萊克
波利斯拉夫
波圖加沙
波坦奴
波士頓河
波爾圖
波希米亞人
波希美恩斯
波特蘭伐木者
波素斯捷
波鴻
泰哈蒙
泰哥維斯特
泰拉克託
泰拉維
泰港
泰科奧裏
泰納瓦斯巴達
泰路警察
澤巴格流浪
澤維卡平聯
洛杉磯銀河
洛比託
洛比星隊
洛里昂
洪卡
洪都拉斯普基素
派德
流浪者
濟州聯
浙江
浦和紅鑽
浦那城
浦項制鐵
浩罕1912
海于格松
海倫芬
海軍海鷹
海法馬卡爾皮
海豚SC
海防
淡濱尼流浪
深圳
深水埗
清化
清奈城
清奈泰坦
清恩聯
清水心跳
清萊聯
溫特圖爾
港會
游擊隊
游擊隊地拉拿
湘南美海
澳門士砵亭
澳門賓菲加
澳門警察
火炬體育團
火車頭體育隊
灰色隊
燕子體育團
特倫辛
特拉布宗
特拉維夫夏普爾
特拉維夫馬卡爾皮
特斯連
特林素
特溫特
特萊姆森
特里森
特里森貝格
特里波利斯
特魯瓦
獨立隊
獅城水手
瑪麗港
瑪拉工藝大學
瑪格拉
環球馬卡蒂
玻利瓦爾
珀斯光輝
班查魯卡玻拉斯
班菲特
理工大學競技
理文
瓜亞基爾城
瓜蘭尼
瓜比拉
瓜達拉哈拉體育俱樂部
瓦倫西亞
瓦勒倫加
瓦普魯斯
瓦杜茨
瓦迪戴加
甘堡爾
甘美奧
電氣工業
登嘉樓
登地聯
白俄羅斯國立大學
百萬富翁
的黎波里
皇家伊斯柏納
皇家軍力
皇家卡施米爾
皇家聖克魯斯
皇家帕裏
皇家普託斯
皇家鹽湖城
皇家社會
皇家貝蒂斯
皇家馬德里
皮亞斯特
皮埃塔熱刺
直布羅陀獅子
石油聯盟
磐田喜悅
祖雲尼斯杜加拿
祖奴摩勒斯
祖爾特瓦雷根
神戶勝利船
福岡黃蜂
福託華
禾倫達利
禾寧丹
禾斯克拉
禾斯杜華斯
禾路斯
科倫坡FC
科利安拿
科威特SC
科爾多瓦美洲虎
科尼亞
科佈雷素
科斯克米提
科泰尼沙
科洛尼亞廣場
科特賴克
科羅拉多急流
科莫斯
科路巴拉
科隆
祕魯體育大學
積基魯尼亞
積布尼克
競技研討會
競賽會
競賽聯
第比利斯火車頭
第比利斯迪納摩
第聶伯羅第一
簡度拿奧
米蘭
米勒瓦旁遮普
米奈
米奧雲尼
米爾沙米
米拿羅斯
米贊比
米達利茲
米達利茲1925
精英隊
素可泰
索利戈爾斯克礦工
索契
索爾亞
索柏阿漢
索莫哈
索迪約拿
索非亞中央陸軍
索非亞利夫斯基
索非亞斯拉維亞
索非亞施譚夫尼
索非亞火車頭
紅星
約納瓦
納夫艾華薩特
納爾瓦特蘭斯
納尼恩
納沙
納沙拉瓦聯
紐卡斯爾聯
紐卡素噴氣機
紐城
紐柏萊斯
紐約城
紐約紅牛
紐維爾舊生
紐裏城
紹烏拉
維也納迅速
維京
維京加高泰
維京古
維圖斯
維基旅行者
維安
維爾茨
維拉斯尼亞
維拿迪馬愛華頓
維捷布斯克
維澤夫
維羅納
維薛拿
維迪斯
綠色街道
羅勇
羅斯托夫
羅斯波特維多利亞
羅斯郡
羅森博格
羅沙里奧中央
羅達
羅馬
美因茨
美洲太陽
美達羅
老撾豐田
老撾警察
耶路撒冷比達
聯樂
股權保險隊
肯薩斯城體育俱樂部
勝利聯隊
胡志明市
胡特恩
自由議會
舒列夫
舒爾本
舒肯迪捷
航源FC
航空競技
般奴
般奴麥柏斯
艾烏魯巴
艾伯哈
艾伯里斯特夫
艾修達
艾加拉法
艾華卡拉
艾華夫伯
艾華斯爾
艾華達
艾華達SC
艾卡克
艾卡哈艾阿利
艾卡夏巴
艾卡迪斯亞
艾卡馬特
艾哈斯姆
艾哥爾
艾喜拉
艾基森
艾塔亞文
艾塔拉巴
艾塞利亞
艾夫斯堡
艾安定艾哈比
艾爾索達
艾巴卡
艾希迪
艾幹納
艾恩米利拉
艾拉華特
艾拉華特阿美尼亞
艾拉斯克特
艾拿查夫
艾拿積馬
艾提拉爾
艾文拿
艾斯加的斯體育俱樂部
艾斯加的斯國際
艾斯卡爾
艾斯賓路拿
艾斯迪格拿
艾杜哈尼
艾杜美圖斯
艾傑拉
艾查捷拉
艾查捷拉安曼
艾沙克
艾沙哈尼亞
艾沙希
艾沙比
艾沙比雅瑪迪
艾法特
艾祖拉
艾穆哈拉克
艾索萊
艾納斯
艾維達
艾美歷克
艾薩威爾
艾薩德
艾費哈
艾賀查拉
艾賈裏勒
艾贊洛布
艾赫多德
艾辛尼
艾達哈耶
艾達喀爾迪薩利
艾達治
艾連姆沙
艾迪雲尼亞
艾迪哈法
艾里斯利馬素
艾錫卜
艾阿恩
艾阿達拿
艾阿里
艾阿里文拉馬
艾阿里薩那
艾雷恩
艾馬納特巴格達
艾高斯圖
芝加哥火焰
芬哈斯
芽籠國際
蘇亞巴亞
蘇利亞
蘇博迪卡
蘇古漢
蘇度瓦
蘇懷克
蘇杜利卡
蘇積斯卡
蘇魯切恩聖喬治
蘇黎世
若基諾魚雷
英胡利茲
草蜢
莫塔瓜
莫爾
莫斯科中央陸軍
莫斯科斯巴達克
莫斯科火車頭
莫斯科迪納摩
莫斯科魚雷
莫斯達
莫納加斯
萊切
萊奧塔
萊斯特城
萊比錫RB
菲奧蘭提諾
菲律賓U-23
菲律賓空軍
薩克賀
薩勒尼塔納
薩古拉利
薩哈布
薩基利茲
薩姆加耶特
薩爾米亞
薩爾茨堡紅牛
薩巴柏保查
薩拉熱窩
薩拉米斯
薩普
薩普斯堡
薩格勒布火車頭
薩格勒布迪納摩
薩比利斯
薩法
薩瓦赫爾
薩索洛
薩那艾華達
薩馬華
薩馬拉
薩馬雷克
葛度爾古斯
葡人之家
葡萄牙體育
蒂圖斯佩唐日
蒂拉斯波爾
蒂拉斯波爾迪納摩
蒂瓦特阿森納
蒙代康日
蒙地卡羅
蒙多夫
蒙彼利埃
蒙扎
蒙斯卡普
蒙特維多利物浦
蒙特維多國民隊
蒙特維多城扭矩
蒙特維多河牀
蒙特維多流浪
蒙通聯
藍十字體育俱樂部
藍星
蔚山現代
蔡倫戈
薛謝斯歷卡
西悉尼流浪
西漢姆聯
西班牙人
西貢
西部聯
西雅圖海灣者
諾丁漢森林
諾拉萬克
諾維柏沙
諾費爾
諾高平
諾高莫
謝夫
謝赫拉塞爾
豪克斯灣
豪爾費坎
貝加尼卡
貝勒阿巴斯
貝爾格萊德紅星
貝西克塔斯
貝雷茨
貝魯札達
質量經銷商
費倫茨瓦羅斯
費內巴切
費利拿
費坦奴
費城聯
費夏華
費耶諾德
費薩里
賀拉戴克
賈柏萊
赫塔費
赫爾辛堡
赫斯
赫根
赫格爾曼立陶宛
赫羅納
超級聯體育會
越電信
路賓
路昆奴
路梳比洛
路達普列夫利亞
輕工業省體育團
辛斯華爾
辛特儒尼奧爾
辛達喀爾拉
辛連斯基
辛迪夫佐特
達保亞
達叻
達奴比奧
達安蒙迪
達爾貝達
達馬克
邁萬德冠軍
進步者
連菲特
迪克維斯
迪加科斯
迪賓尼
迪尼伯
迪弗當日
迪德朗日
迪拿哥里
迪赫弗
鄧根倫
那不勒斯
那空拉查斯馬
邦加
鄒北記
都柏林大學
都靈
里加FC
里加足校
里奧艾維
里昂
裏波洛
金字塔
銘傳大學
錫爾克堡
錫永
錫瓦斯體育
長春亞泰
門興格拉德巴赫
防衛者
陽光星
阿伯丁
阿克託比
阿克瓦聯
阿克蘇
阿勒頗伊蒂哈德
阿古拿斯
阿古雷利
阿喀巴
阿姆波浪
阿爾亞莫克
阿爾克馬爾
阿爾內澤默
阿爾列法
阿爾華達
阿爾哈拉
阿爾富吉拉
阿爾拿達
阿爾查殊
阿爾梅里亞
阿爾禾里亞
阿爾納夫
阿爾納斯
阿爾納沙
阿爾艾拉比
阿爾薩特
阿爾費薩里
阿爾阿赫德
阿巴辛波浪
阿度斯維
阿德萊德聯
阿拉伯建築
阿拉姆巴格體育會
阿拉尼亞
阿拉德
阿拉瓜
阿斯塔納
阿斯頓維拉
阿斯麥隼鳥
阿曼FC
阿查斯
阿森納
阿比亞勇士
阿比爾
阿波羅利馬素
阿洛卡
阿特蘭大聯
阿特雷
阿積曼
阿簡尼斯
阿美利加明尼路
阿耶古祖
阿舒多
阿賈克斯
阿達納
阿里斯
阿里辛特
阿雅克肖
阿雷馬
陶格夫匹爾斯
隆德比
雅拉古恩奴斯
雪蘭莪
雷克雅未克
雷尼基利斯
雷恩
雷格爾
雷諾華
霍爾森斯
霍斯特爾特
霍芬海姆
霹靂
青年人
青年體育俱樂部
青鋒
靴曼斯達特
韋斯圖爾
韋斯特曼納耶
韋斯達路
韋達卡薩布蘭卡
韋達基利聯
颶風隊
香港U23
馬克塔拉爾
馬六甲聯
馬其頓尼亞
馬茲亞
馬勒杜斯
馬卡拉
馬圭
馬奇尼沙治
馬安
馬爾多納多
馬爾默
馬德里競技
馬拉奇
馬拉頓
馬斯喀特
馬斯特
馬斯納亞
馬格里布
馬沙爾
馬沙斯洛克
馬瑟韋爾
馬略卡
馬薩雷
馬賽
馬贊德蘭
馬都拉聯
馬裏博爾
馬裏士他卡沙
馬裏迪莫
高利寧
高勞
高原聯
高古林
高爾高赫
高柏
高洛斯
高美爾
高路高路
高隆
魯卡尼
魯斯塔克
鯉明水體育團
鳥棲砂岩
鴨綠江體育隊
鴻嶺河靜
鹿島鹿角
鹿特丹斯巴達
麥克阿瑟
麥德林獨立
麥納瑪
黃英嘉萊
黎明體育團
